,date,position,track_id,track_name,artist,streams
31292,2017-06-09,93,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,30552
31294,2017-06-09,95,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,29818
31341,2017-06-09,142,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,24406
31346,2017-06-09,147,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,23608
31348,2017-06-09,149,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,23323
31361,2017-06-09,162,10nqz67NQWWa7XPq7ycihi,Welcome To New York,Taylor Swift,21878
31366,2017-06-09,167,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,21669
31369,2017-06-09,170,0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,21225
31381,2017-06-09,182,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,20512
31391,2017-06-09,192,4NNolUeL5m2ju7kf8pdg6H,All You Had To Do Was Stay,Taylor Swift,19376
31392,2017-06-09,193,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,19341
31469,2017-06-10,70,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,35793
31470,2017-06-10,71,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,35690
31485,2017-06-10,86,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,30187
31491,2017-06-10,92,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,28662
31494,2017-06-10,95,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,28308
31505,2017-06-10,106,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,26611
31509,2017-06-10,110,0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,25821
31514,2017-06-10,115,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,25394
31516,2017-06-10,117,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,24917
31522,2017-06-10,123,10nqz67NQWWa7XPq7ycihi,Welcome To New York,Taylor Swift,23835
31541,2017-06-10,142,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,21916
31543,2017-06-10,144,4NNolUeL5m2ju7kf8pdg6H,All You Had To Do Was Stay,Taylor Swift,21602
31549,2017-06-10,150,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Taylor Swift,21264
31556,2017-06-10,157,4t0OI7XrODjSkAu3bTPmWj,Fifteen,Taylor Swift,20803
31559,2017-06-10,160,4NAmRvqSITAAzKWnC8yRq3,Everything Has Changed,Taylor Swift,20635
31566,2017-06-10,167,0cITLOYn1Sv4q27zZPqlNK,Red,Taylor Swift,19936
31573,2017-06-10,174,2ULNeSomDxVNmdDy8VxEBU,22,Taylor Swift,19223
31687,2017-06-11,88,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,28281
31688,2017-06-11,89,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,27943
31716,2017-06-11,117,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,23599
31723,2017-06-11,124,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,22590
31724,2017-06-11,125,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,22506
31731,2017-06-11,132,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,22070
31745,2017-06-11,146,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,20561
31749,2017-06-11,150,0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,20383
31763,2017-06-11,164,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,18600
31772,2017-06-11,173,10nqz67NQWWa7XPq7ycihi,Welcome To New York,Taylor Swift,17814
31784,2017-06-11,185,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Taylor Swift,16920
31785,2017-06-11,186,4NAmRvqSITAAzKWnC8yRq3,Everything Has Changed,Taylor Swift,16893
31791,2017-06-11,192,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,16539
31794,2017-06-11,195,4t0OI7XrODjSkAu3bTPmWj,Fifteen,Taylor Swift,16377
31897,2017-06-12,98,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,29047
31900,2017-06-12,101,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,28722
31925,2017-06-12,126,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,24117
31937,2017-06-12,138,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,23352
31948,2017-06-12,149,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,22219
31953,2017-06-12,154,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,21838
31961,2017-06-12,162,0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,20974
31965,2017-06-12,166,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,20461
31979,2017-06-12,180,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,18457
31986,2017-06-12,187,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,17900
31994,2017-06-12,195,4NAmRvqSITAAzKWnC8yRq3,Everything Has Changed,Taylor Swift,17555
31998,2017-06-12,199,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Taylor Swift,17253
32090,2017-06-13,91,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,27480
32092,2017-06-13,93,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,27302
32123,2017-06-13,124,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,24120
32140,2017-06-13,141,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,22730
32144,2017-06-13,145,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,22225
32159,2017-06-13,160,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,20884
32167,2017-06-13,168,0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,20046
32177,2017-06-13,178,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,19046
32188,2017-06-13,189,7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,18010
32198,2017-06-13,199,0qUnBLZ8bJqUNEeQgayL9t,Out Of The Woods,Taylor Swift,17315
32335,2017-06-14,136,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,24537
32336,2017-06-14,137,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,24354
32351,2017-06-14,152,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,23349
32358,2017-06-14,159,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,22167
32371,2017-06-14,172,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,21105
32390,2017-06-14,191,3fVnlF4pGqWI9flVENcT28,Wildest Dreams,Taylor Swift,18679
32396,2017-06-14,197,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,18120
32568,2017-06-15,169,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,21484
32571,2017-06-15,172,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,20983
32573,2017-06-15,174,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,20802
32578,2017-06-15,179,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,20074
32581,2017-06-15,182,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,19967
32775,2017-06-16,176,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,19480
32776,2017-06-16,177,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,19439
32781,2017-06-16,182,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,19089
32793,2017-06-16,194,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,18148
32797,2017-06-16,198,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,17877
32981,2017-06-17,182,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,17982
32983,2017-06-17,184,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,17676
32989,2017-06-17,190,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,17348
32991,2017-06-17,192,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,17162
33185,2017-06-18,186,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,16985
33191,2017-06-18,192,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,16749
33196,2017-06-18,197,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,16537
33197,2017-06-18,198,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,16444
33391,2017-06-19,192,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,18032
33395,2017-06-19,196,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,17653
33398,2017-06-19,199,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,17524
33399,2017-06-19,200,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,17464
33589,2017-06-20,190,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,18446
33791,2017-06-21,192,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,18369
33993,2017-06-22,194,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,18023
34191,2017-06-23,192,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,17783
34398,2017-06-24,199,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,16727
35799,2017-07-01,200,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,16862
46600,2017-08-25,1,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,224825
46793,2017-08-25,194,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,18570
46800,2017-08-26,1,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,193022
46976,2017-08-26,177,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,20108
46988,2017-08-26,189,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,19122
46999,2017-08-26,200,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,18499
47000,2017-08-27,1,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,164364
47200,2017-08-28,1,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,238716
47400,2017-08-29,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,259858
47571,2017-08-29,172,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,20044
47600,2017-08-30,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,264114
47783,2017-08-30,184,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,20299
47800,2017-08-31,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,242004
47991,2017-08-31,192,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,18933
48000,2017-09-01,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,245490
48200,2017-09-02,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,218449
48400,2017-09-03,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,225259
48424,2017-09-03,25,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,85916
48596,2017-09-03,197,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,18064
48600,2017-09-04,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,221110
48601,2017-09-04,2,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,161175
48754,2017-09-04,155,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,21842
48787,2017-09-04,188,4NAmRvqSITAAzKWnC8yRq3,Everything Has Changed,Taylor Swift,19204
48800,2017-09-05,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,215207
48804,2017-09-05,5,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,143734
48989,2017-09-05,190,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,19769
49000,2017-09-06,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,208649
49004,2017-09-06,5,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,138364
49198,2017-09-06,199,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,19439
49200,2017-09-07,1,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,203370
49208,2017-09-07,9,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,126079
49401,2017-09-08,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,198274
49412,2017-09-08,13,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,119074
49601,2017-09-09,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,209091
49615,2017-09-09,16,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,110759
49801,2017-09-10,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,207678
49816,2017-09-10,17,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,106600
50001,2017-09-11,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,193907
50020,2017-09-11,21,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,94325
50201,2017-09-12,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,204679
50226,2017-09-12,27,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,91460
50401,2017-09-13,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,206319
50426,2017-09-13,27,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,92492
50601,2017-09-14,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,201204
50629,2017-09-14,30,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,87850
50801,2017-09-15,2,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,190841
50829,2017-09-15,30,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,84974
51002,2017-09-16,3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,196288
51030,2017-09-16,31,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,81340
51202,2017-09-17,3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,197607
51233,2017-09-17,34,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,77069
51402,2017-09-18,3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,188194
51437,2017-09-18,38,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,76524
51602,2017-09-19,3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,178172
51639,2017-09-19,40,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,71742
51803,2017-09-20,4,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,170482
51841,2017-09-20,42,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,68667
52002,2017-09-21,3,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,183152
52043,2017-09-21,44,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,71678
52203,2017-09-22,4,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,163242
52244,2017-09-22,45,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,66673
52403,2017-09-23,4,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,166291
52449,2017-09-23,50,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,63103
52603,2017-09-24,4,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,162684
52648,2017-09-24,49,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,61810
52805,2017-09-25,6,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,154568
52849,2017-09-25,50,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,54192
53006,2017-09-26,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,155035
53058,2017-09-26,59,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,49104
53206,2017-09-27,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,152884
53263,2017-09-27,64,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,45660
53406,2017-09-28,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,151113
53473,2017-09-28,74,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,41567
53606,2017-09-29,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,145451
53670,2017-09-29,71,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,40144
53806,2017-09-30,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,146226
53875,2017-09-30,76,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,38227
54006,2017-10-01,7,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,141638
54072,2017-10-01,73,19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,Taylor Swift,37754
54207,2017-10-02,8,6uFsE1JgZ20EXyU0JQZbUR,Look What You Made Me Do,Taylor Swift,136369
