,Unnamed: 0,date,total_streams,stream_percent_change,total_count,count_percent_change,highest_rank,top_rank_diff,date_time
0,0,2017-01-01,0,,0,,,,2017-01-01
1,1,2017-01-02,0,,0,,,,2017-01-02
2,2,2017-01-03,0,,0,,,,2017-01-03
3,3,2017-01-04,0,,0,,,,2017-01-04
4,4,2017-01-05,0,,0,,,,2017-01-05
5,5,2017-01-06,0,,0,,,,2017-01-06
6,6,2017-01-07,0,,0,,,,2017-01-07
7,7,2017-01-08,0,,0,,,,2017-01-08
8,8,2017-01-09,0,,0,,,,2017-01-09
9,9,2017-01-10,0,,0,,,,2017-01-10
10,10,2017-01-11,0,,0,,,,2017-01-11
11,11,2017-01-12,0,,0,,,,2017-01-12
12,12,2017-01-13,0,,0,,,,2017-01-13
13,13,2017-01-14,0,,0,,,,2017-01-14
14,14,2017-01-15,0,,0,,,,2017-01-15
15,15,2017-01-16,0,,0,,,,2017-01-16
16,16,2017-01-17,0,,0,,,,2017-01-17
17,17,2017-01-18,0,,0,,,,2017-01-18
18,18,2017-01-19,0,,0,,,,2017-01-19
19,19,2017-01-20,0,,0,,,,2017-01-20
20,20,2017-01-21,0,,0,,,,2017-01-21
21,21,2017-01-22,0,,0,,,,2017-01-22
22,22,2017-01-23,0,,0,,,,2017-01-23
23,23,2017-01-24,0,,0,,,,2017-01-24
24,24,2017-01-25,0,,0,,,,2017-01-25
25,25,2017-01-26,0,,0,,,,2017-01-26
26,26,2017-01-27,0,,0,,,,2017-01-27
27,27,2017-01-28,0,,0,,,,2017-01-28
28,28,2017-01-29,0,,0,,,,2017-01-29
29,29,2017-01-30,0,,0,,,,2017-01-30
30,30,2017-01-31,0,,0,,,,2017-01-31
31,31,2017-02-01,0,,0,,,,2017-02-01
32,32,2017-02-02,0,,0,,,,2017-02-02
33,33,2017-02-03,0,,0,,,,2017-02-03
34,34,2017-02-04,0,,0,,,,2017-02-04
35,35,2017-02-05,0,,0,,,,2017-02-05
36,36,2017-02-06,0,,0,,,,2017-02-06
37,37,2017-02-07,0,,0,,,,2017-02-07
38,38,2017-02-08,0,,0,,,,2017-02-08
39,39,2017-02-09,0,,0,,,,2017-02-09
40,40,2017-02-10,0,,0,,,,2017-02-10
41,41,2017-02-11,0,,0,,,,2017-02-11
42,42,2017-02-12,0,,0,,,,2017-02-12
43,43,2017-02-13,0,,0,,,,2017-02-13
44,44,2017-02-14,0,,0,,,,2017-02-14
45,45,2017-02-15,0,,0,,,,2017-02-15
46,46,2017-02-16,0,,0,,,,2017-02-16
47,47,2017-02-17,0,,0,,,,2017-02-17
48,48,2017-02-18,0,,0,,,,2017-02-18
49,49,2017-02-19,0,,0,,,,2017-02-19
50,50,2017-02-20,0,,0,,,,2017-02-20
51,51,2017-02-21,0,,0,,,,2017-02-21
52,52,2017-02-22,0,,0,,,,2017-02-22
53,53,2017-02-23,0,,0,,,,2017-02-23
54,54,2017-02-24,0,,0,,,,2017-02-24
55,55,2017-02-25,0,,0,,,,2017-02-25
56,56,2017-02-26,0,,0,,,,2017-02-26
57,57,2017-02-27,0,,0,,,,2017-02-27
58,58,2017-02-28,0,,0,,,,2017-02-28
59,59,2017-03-01,0,,0,,,,2017-03-01
60,60,2017-03-02,0,,0,,,,2017-03-02
61,61,2017-03-03,0,,0,,,,2017-03-03
62,62,2017-03-04,0,,0,,,,2017-03-04
63,63,2017-03-05,0,,0,,,,2017-03-05
64,64,2017-03-06,0,,0,,,,2017-03-06
65,65,2017-03-07,0,,0,,,,2017-03-07
66,66,2017-03-08,0,,0,,,,2017-03-08
67,67,2017-03-09,0,,0,,,,2017-03-09
68,68,2017-03-10,0,,0,,,,2017-03-10
69,69,2017-03-11,0,,0,,,,2017-03-11
70,70,2017-03-12,0,,0,,,,2017-03-12
71,71,2017-03-13,0,,0,,,,2017-03-13
72,72,2017-03-14,0,,0,,,,2017-03-14
73,73,2017-03-15,0,,0,,,,2017-03-15
74,74,2017-03-16,0,,0,,,,2017-03-16
75,75,2017-03-17,0,,0,,,,2017-03-17
76,76,2017-03-18,0,,0,,,,2017-03-18
77,77,2017-03-19,0,,0,,,,2017-03-19
78,78,2017-03-20,0,,0,,,,2017-03-20
79,79,2017-03-21,0,,0,,,,2017-03-21
80,80,2017-03-22,0,,0,,,,2017-03-22
81,81,2017-03-23,0,,0,,,,2017-03-23
82,82,2017-03-24,0,,0,,,,2017-03-24
