artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,47387027,"['dance pop', 'pop']",89
4IWBUUAFIplrNtaOHcJPRM,James Arthur,11471232,"['pop', 'talent show', 'uk pop']",82
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20036566,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",81
04gDigrS5kc9YWfZHwBETP,Maroon 5,40125006,['pop'],86
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8535540,"['dance pop', 'pop', 'post-teen pop']",73
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,11318666,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",75
540vIaP2JwjQb9dm3aArA4,DJ Snake,8442843,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",78
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,62316373,"['canadian contemporary r&b', 'canadian pop', 'pop']",98
46GXASE9LHzyssNqKOInUu,Dawin,226027,['nyc pop'],51
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6344896,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",76
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3767693,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",76
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,5029958,"['ohio hip hop', 'pop', 'pop rap']",80
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,22095315,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",77
7gAppWoH7pcYmphCVTXkzs,The Vamps,5615203,"['boy band', 'dance pop', 'pop', 'post-teen pop']",69
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15771722,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",78
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,89271125,"['dance pop', 'pop']",91
02A3cEvlLLCbIMVDrK2GHV,Starley,194534,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']",56
